TIME,0.001360
EPISODE_REWARDS
0,-3.623988
1,0.034652
2,-3.760081
3,-3.820384
4,-3.826973
5,-3.712974
6,-3.829993
7,-3.833313
8,-3.875576
9,-2.697102
10,-3.781471
11,-3.637717
12,-3.854357
13,-3.851880
14,-3.760281
15,-1.245079
16,-3.807616
17,-3.593548
18,0.853002
19,-3.669893
20,-3.908395
21,-3.723946
22,-3.756829
23,-3.730748
24,-3.767678
25,-3.839257
26,-3.792134
27,-3.636894
28,-3.573488
29,-3.802007
30,-3.703979
31,-3.602665
32,-3.842259
33,-3.566537
34,-3.712614
35,-3.742009
36,-3.814500
37,-3.838683
38,-3.702828
39,-3.742144
40,-3.707364
41,-3.519373
42,-3.541919
43,-3.774905
44,-3.704229
45,-3.837700
46,-3.780832
47,-3.663433
48,-1.493937
49,-3.602170
50,-1.237879
51,-3.597251
52,-3.903259
53,-3.810265
54,-3.650979
55,-3.760120
56,-3.825224
57,-3.871942
58,-3.723646
59,-3.768219
60,-3.988138
61,-3.790128
62,0.946558
63,-3.919165
64,-3.657028
65,-3.763048
66,-3.669049
67,-3.668729
68,-3.738833
69,-3.750123
70,-3.694015
71,-3.841388
72,-3.882929
73,-3.754883
74,-3.719282
75,-3.820271
76,-3.559278
77,-3.692995
78,-3.815425
79,-3.798521
80,-3.613458
81,-1.723900
82,0.901774
83,-3.546610
84,-3.688999
85,-3.836329
86,-3.683094
87,-3.762297
88,-3.815290
89,-3.576485
90,-3.753766
91,-3.788172
92,-3.836893
93,-3.544938
94,-3.877484
95,-3.594678
96,-3.833231
97,-3.784809
98,-3.837836
99,-3.700444
100,1.000000
101,-3.854711
102,-3.847048
103,-3.644224
104,-3.820472
105,-3.694057
106,-3.596985
107,-3.689500
108,-3.814588
109,-2.650392
110,-3.807326
111,-3.716332
112,-3.879575
113,-3.706114
114,-3.803101
115,-4.692827
116,-3.862013
117,-3.670974
118,-3.673250
119,-3.719299
120,-3.772851
121,-3.802928
122,-3.559881
123,-3.631571
124,-3.796825
125,-3.692395
126,-3.858646
127,-3.652882
128,-3.714188
129,-3.653000
130,-3.749862
131,-3.718465
132,-3.853189
133,-3.776750
134,-3.635421
135,-3.696605
136,-3.784883
137,-3.594646
138,-3.601673
139,-3.804747
140,-3.850268
141,-3.863162
142,-3.916571
143,-3.800676
144,-3.670609
145,-3.804448
146,-3.679191
147,-3.533551
148,-3.674433
149,-3.737693
150,-3.657450
151,-3.785257
152,-3.583619
153,-3.610340
154,-3.818202
155,-3.744549
156,-3.824830
157,-3.805671
158,-3.766500
159,-3.715937
160,0.935236
161,-3.720553
162,-3.843278
163,-3.713465
164,-3.817667
165,-3.663586
166,-3.705054
167,-3.760019
168,-3.652992
169,-3.685770
170,-3.654972
171,-3.737114
172,-3.771769
173,-3.507385
174,0.909259
175,-3.527462
176,-3.760736
177,-3.770885
178,-3.887306
179,-3.802924
180,-3.785500
181,-3.736094
182,-3.745224
183,-3.703887
184,-3.732211
185,-3.746438
186,-3.966204
187,-3.939758
188,-3.768135
189,-3.753062
190,-3.812302
191,-3.721554
192,-3.844202
193,-3.544501
194,-3.830892
195,-3.645932
196,-3.757435
197,-3.627051
198,-3.815691
199,-3.697797
200,-3.619667
201,-3.970935
202,-3.848871
203,-3.822029
204,-3.836995
205,1.000000
206,-3.631822
207,-3.867006
208,1.000000
209,-3.739519
210,-3.638206
211,-3.631655
212,-3.778432
213,-3.784508
214,0.913637
215,-3.970624
216,-3.705828
217,-3.749564
218,-3.635426
219,-3.805478
220,-3.669567
221,-3.615384
222,-3.703137
223,1.000000
224,-3.604632
225,-3.770017
226,-3.690841
227,-3.910873
228,-3.825819
229,-3.824256
230,-3.868502
231,-3.653074
232,-3.626404
233,-3.786382
234,-3.813393
235,-3.759042
236,-3.703092
237,-3.871031
238,-3.782621
239,-3.666890
240,-3.755532
241,-3.701394
242,-3.678486
243,-3.737404
244,-3.742515
245,-3.997817
246,-3.922544
247,-3.703939
248,-3.752067
249,-3.622440
250,-3.804267
251,-3.664422
252,-3.737866
253,-3.779196
254,-3.746214
255,-3.651247
256,-3.816247
257,-3.738364
258,-3.917641
259,-3.885970
260,-3.902899
261,-3.783613
262,-3.627353
263,-3.845876
264,-3.788988
265,-3.580622
266,-3.665401
267,-4.350819
268,-3.884477
269,-3.590454
